sales_data_id,sale_date,profit_amount,event,weather,Temperature,sales_amount_lag_1,sales_amount_lag_7,sales_amount_lag_30,sales_amount_ma_30,sales_amount_std_30,sales_amount_ma_60,sales_amount_std_60,month_sin,month_cos,day_of_week_sin,day_of_week_cos
356,,1843.0,Normal_Day,Mostly_Sunny,33.0,7694.0,6642.0,4610.0,8508.994,2042.9613,8590.809,2527.4617,,,,
536,,2564.0,Normal_Day,Mostly_Sunny,36.0,7640.0,10851.0,8332.0,10498.325,2470.1206,10100.56,2402.9932,,,,
213,,1923.0,Normal_Day,Mostly_Sunny,35.0,10612.536,19963.0,17992.0,17164.238,11234.339,15019.648,8749.505,,,,
548,,1357.0,Normal_Day,Mostly_Sunny,38.0,9344.0,10983.0,11843.0,10599.761,2449.7004,10199.077,2376.696,,,,
595,,2931.0,Holiday,Mostly_Sunny,35.0,10612.536,13062.0,19187.0,17837.523,11070.423,14760.173,8942.368,,,,
123,,2264.0,Normal_Day,Mostly_Sunny,35.0,8810.0,11642.0,10612.536,10351.289,1933.6245,10163.591,2215.505,,,,
870,,,Normal_Day,Scattered_Shower,31.0,5729.0,6780.0,5236.0,8650.773,1820.4604,8442.857,2047.6134,,,,
298,,1672.0,Normal_Day,Mostly_Sunny,33.0,7473.0,10985.0,10612.536,9237.822,2612.865,9532.583,2375.8823,,,,
883,,,Normal_Day,Scattered_Shower,31.0,10612.536,7407.0,8224.0,8695.843,1757.6646,8504.45,1910.4343,,,,
446,,1280.0,Normal_Day,Mostly_Sunny,29.0,7642.0,4023.0,15768.0,10100.6455,2806.2583,10232.103,2526.9016,,,,
220,,2880.0,Normal_Day,Mostly_Sunny,35.0,10612.536,9541.0,30095.0,13929.656,10107.593,14891.03,8850.614,,,,
399,,1428.0,Normal_Day,Mostly_Sunny,33.0,7842.0,12133.0,10084.0,10428.974,1963.0723,10373.316,3425.8906,,,,
103,,1536.0,Normal_Day,Scattered_Shower,27.0,13429.0,10323.0,13045.0,9731.6045,2303.3777,10636.284,2348.7974,,,,
86,,,Holiday,Mostly_Sunny,28.0,7869.0,10612.536,10612.536,10158.561,2557.2727,10319.717,2542.5813,,,,
36,,1841.0,Holiday,Mostly_Sunny,33.0,6058.0,13751.0,5881.0,8578.672,2638.7268,,,,,,
694,,1418.0,Normal_Day,Partly_Cloudy,34.0,9388.0,6271.0,10612.536,8233.54,2043.4489,8687.884,2058.2844,,,,
84,,1160.0,Normal_Day,Mostly_Sunny,32.0,5419.0,7471.0,16415.0,10220.027,2522.2646,10257.842,2652.7795,,,,
430,,3560.0,Normal_Day,Mostly_Sunny,34.0,10612.536,10612.536,10542.0,10759.6455,2988.1978,10646.876,2476.6812,,,,
563,,3070.0,Normal_Day,Mostly_Sunny,38.0,16351.0,7501.0,16215.0,10691.256,3277.6917,10731.523,2929.9392,,,,
283,,1739.0,Normal_Day,Mostly_Sunny,35.0,10612.536,7708.0,10612.536,9281.158,2421.1843,9651.326,2189.221,,,,
177,,,Holiday,Mostly_Sunny,31.0,17509.0,10612.536,10630.0,11617.31,3165.4917,10757.85,2727.5864,,,,
522,,,Normal_Day,Mostly_Sunny,36.0,10612.536,8989.0,8163.0,9734.863,2451.993,9440.159,2294.4534,,,,
439,,993.0,Normal_Day,Mostly_Sunny,32.0,9971.0,9674.0,10612.536,10696.443,2904.4304,10377.818,2529.7498,,,,
27,,2208.0,Normal_Day,Mostly_Sunny,32.0,10766.0,2088.0,,,,,,,,,
460,,,Holiday,Mostly_Sunny,36.0,5698.0,9215.0,9865.0,9234.812,2099.38,9940.836,2648.0974,,,,
634,,1785.0,Normal_Day,Mostly_Sunny,34.0,9866.0,8604.0,11535.0,9851.808,3715.771,12152.407,8245.172,,,,
652,,2358.0,Normal_Day,Partly_Cloudy,32.0,8365.0,11479.0,10612.536,9476.559,1808.2412,9805.908,3023.2358,,,,
25,,729.0,Normal_Day,Mostly_Sunny,34.0,10233.0,7541.0,,,,,,,,,
31,,1165.0,Holiday,Mostly_Sunny,32.0,10612.536,10233.0,6552.0,9060.089,3018.7012,,,,,,
81,,2831.0,Normal_Day,Mostly_Sunny,33.0,10455.0,9357.0,10612.536,10808.561,2452.8562,10362.95,2577.5715,,,,
