sales_data_id,sale_date,sales_amount,profit_amount,Temperature,day_of_year,Date,Month,Year,is_closed,event_Normal Day,weather_Mostly Sunny,weather_Partly Cloudy,weather_Scattered Shower
63,2023-01-06,9940.0,2025.0,30.0,6,6,1,2023,0,True,True,False,False
64,2023-01-07,10612.535779816513,2074.0550458715597,28.0,7,7,1,2023,0,False,True,False,False
65,2023-01-08,10612.535779816513,2074.0550458715597,28.0,8,8,1,2023,0,False,False,False,False
66,2023-01-09,15135.0,3071.0,31.0,9,9,1,2023,0,True,False,True,False
67,2023-01-10,7331.0,1570.0,31.0,10,10,1,2023,0,True,False,False,False
68,2023-01-11,12689.0,2424.0,28.0,11,11,1,2023,0,True,True,False,False
69,2023-01-12,12785.0,2610.0,31.0,12,12,1,2023,0,True,True,False,False
70,2023-01-13,11122.0,2076.0,33.0,13,13,1,2023,0,True,False,True,False
71,2023-01-14,10612.535779816513,2074.0550458715597,34.0,14,14,1,2023,0,False,True,False,False
72,2023-01-15,10612.535779816513,2074.0550458715597,33.0,15,15,1,2023,0,False,True,False,False
73,2023-01-16,13045.0,2528.0,34.0,16,16,1,2023,0,True,True,False,False
74,2023-01-17,9357.0,1781.0,32.0,17,17,1,2023,0,True,True,False,False
75,2023-01-18,7042.0,1464.0,31.0,18,18,1,2023,0,True,True,False,False
76,2023-01-19,10621.0,1999.0,31.0,19,19,1,2023,0,True,True,False,False
77,2023-01-20,7471.0,1442.0,31.0,20,20,1,2023,0,True,True,False,False
78,2023-01-21,4510.0,896.0,32.0,21,21,1,2023,0,False,True,False,False
79,2023-01-22,10612.535779816513,2074.0550458715597,32.0,22,22,1,2023,0,False,True,False,False
80,2023-01-23,10455.0,2088.0,34.0,23,23,1,2023,0,True,True,False,False
81,2023-01-24,13915.0,2831.0,33.0,24,24,1,2023,0,True,True,False,False
82,2023-01-25,8854.0,1744.0,28.0,25,25,1,2023,0,True,True,False,False
83,2023-01-26,5419.0,1023.0,31.0,26,26,1,2023,0,True,True,False,False
84,2023-01-27,5291.0,1160.0,32.0,27,27,1,2023,0,True,True,False,False
85,2023-01-28,7869.0,1639.0,29.0,28,28,1,2023,0,False,True,False,False
86,2023-01-29,10612.535779816513,2074.0550458715597,28.0,29,29,1,2023,0,False,True,False,False
87,2023-01-30,11567.0,2297.0,27.0,30,30,1,2023,0,True,True,False,False
88,2023-01-31,10955.0,2350.0,31.0,31,31,1,2023,0,True,True,False,False
89,2023-02-01,10156.0,1253.0,33.0,32,1,2,2023,0,True,True,False,False
90,2023-02-02,11008.0,2349.0,35.0,33,2,2,2023,0,True,True,False,False
91,2023-02-03,9939.0,2179.0,32.0,34,3,2,2023,0,True,True,False,False
92,2023-02-04,8453.0,1588.0,33.0,35,4,2,2023,0,False,True,False,False
93,2023-02-05,10612.535779816513,2074.0550458715597,33.0,36,5,2,2023,0,False,True,False,False
94,2023-02-06,12451.0,2471.0,34.0,37,6,2,2023,0,True,True,False,False
95,2023-02-07,9875.0,1596.0,34.0,38,7,2,2023,0,True,True,False,False
96,2023-02-08,10323.0,1931.0,35.0,39,8,2,2023,0,True,True,False,False
97,2023-02-09,9296.0,2037.0,34.0,40,9,2,2023,0,True,True,False,False
98,2023-02-10,9615.0,1866.0,34.0,41,10,2,2023,0,True,True,False,False
99,2023-02-11,10435.0,2176.0,35.0,42,11,2,2023,0,False,True,False,False
100,2023-02-12,10612.535779816513,2074.0550458715597,35.0,43,12,2,2023,0,False,True,False,False
101,2023-02-13,13567.0,2674.0,34.0,44,13,2,2023,0,True,True,False,False
102,2023-02-14,13429.0,2470.0,36.0,45,14,2,2023,0,True,True,False,False
103,2023-02-15,7625.0,1536.0,27.0,46,15,2,2023,0,True,False,False,True
104,2023-02-16,8011.0,1587.0,31.0,47,16,2,2023,0,True,True,False,False
105,2023-02-17,6429.0,1378.0,30.0,48,17,2,2023,0,True,True,False,False
106,2023-02-18,10612.535779816513,2074.0550458715597,33.0,49,18,2,2023,0,False,True,False,False
107,2023-02-19,10612.535779816513,2074.0550458715597,35.0,50,19,2,2023,0,False,True,False,False
108,2023-02-20,11217.0,1910.0,32.0,51,20,2,2023,0,True,True,False,False
109,2023-02-21,13095.0,2478.0,33.0,52,21,2,2023,0,True,True,False,False
110,2023-02-22,9085.0,1743.0,34.0,53,22,2,2023,0,True,True,False,False
111,2023-02-23,9757.0,1662.0,34.0,54,23,2,2023,0,True,True,False,False
112,2023-02-24,14053.0,2892.0,36.0,55,24,2,2023,0,True,True,False,False
113,2023-02-25,8798.0,2051.0,32.0,56,25,2,2023,0,False,True,False,False
114,2023-02-26,10612.535779816513,2074.0550458715597,30.0,57,26,2,2023,0,False,True,False,False
115,2023-02-27,8385.0,1659.0,30.0,58,27,2,2023,0,True,True,False,False
116,2023-02-28,11642.0,2292.0,33.0,59,28,2,2023,0,True,True,False,False
117,2023-03-01,10935.0,2215.0,35.0,60,1,3,2023,0,True,True,False,False
118,2023-03-02,10696.0,2487.0,35.0,61,2,3,2023,0,True,True,False,False
119,2023-03-03,12461.0,2490.0,34.0,62,3,3,2023,0,True,True,False,False
120,2023-03-04,6582.0,1440.0,33.0,63,4,3,2023,0,False,True,False,False
121,2023-03-05,10612.535779816513,2074.0550458715597,33.0,64,5,3,2023,0,False,True,False,False
122,2023-03-06,8810.0,1811.0,33.0,65,6,3,2023,0,True,True,False,False
123,2023-03-07,10904.0,2264.0,35.0,66,7,3,2023,0,True,True,False,False
124,2023-03-08,10703.0,2242.0,35.0,67,8,3,2023,0,True,True,False,False
125,2023-03-09,8752.0,2097.0,35.0,68,9,3,2023,0,True,True,False,False
126,2023-03-10,11961.0,2557.0,35.0,69,10,3,2023,0,True,True,False,False
127,2023-03-11,6735.0,1423.0,35.0,70,11,3,2023,0,False,True,False,False
128,2023-03-12,10612.535779816513,2074.0550458715597,34.0,71,12,3,2023,0,False,True,False,False
