Date,Sales,Profit,Event,Day,Festival,Weather
2566/01/18,7042.0,1464.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/01/19,10621.0,1999.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/01/20,7471.0,1442.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/01/21,4510.0,896.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/01/22,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/01/23,10455.0,2088.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/01/24,13915.0,2831.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/01/25,8854.0,1744.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/01/26,5419.0,1023.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/01/27,5291.0,1160.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/01/28,7869.0,1639.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/01/29,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/01/30,11567.0,2297.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/01/31,10955.0,2350.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/02/01,10156.0,1253.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/02/02,11008.0,2349.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/02/03,9939.0,2179.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/02/04,8453.0,1588.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/02/05,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/02/06,12451.0,2471.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/02/07,9875.0,1596.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/02/08,10323.0,1931.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/02/09,9296.0,2037.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/02/10,9615.0,1866.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/02/11,10435.0,2176.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/02/12,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/02/13,13567.0,2674.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/02/14,13429.0,2470.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/02/15,7625.0,1536.0,Normal Day,Wednesday,Normal Day,Scattered Showe
2566/02/16,8011.0,1587.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/02/17,6429.0,1378.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/02/18,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/02/19,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/02/20,11217.0,1910.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/02/21,13095.0,2478.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/02/22,9085.0,1743.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/02/23,9757.0,1662.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/02/24,14053.0,2892.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/02/25,8798.0,2051.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/02/26,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/02/27,8385.0,1659.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/02/28,11642.0,2292.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/03/01,10935.0,2215.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/03/02,10696.0,2487.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/03/03,12461.0,2490.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/03/04,6582.0,1440.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/03/05,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/03/06,8810.0,1811.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/03/07,10904.0,2264.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/03/08,10703.0,2242.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/03/09,8752.0,2097.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/03/10,11961.0,2557.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/03/11,6735.0,1423.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/03/12,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/03/13,9114.0,1951.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/03/14,8997.0,2117.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/03/15,7459.0,1549.0,Holiday,Wednesday,Makha Bucha,Mostly Sunny
2566/03/16,10287.0,2166.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/03/17,9290.0,2001.0,Normal Day,Friday,Normal Day,Partly Clooudy
2566/03/18,10562.0,2084.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/03/19,4599.0,949.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/03/20,11684.0,2517.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/03/21,10562.0,2084.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/03/22,12619.0,2638.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/03/23,8950.0,1799.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/03/24,9345.0,1864.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/03/25,13479.0,1355.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/03/26,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/03/27,8462.0,1769.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/03/28,11134.0,1851.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/03/29,9973.0,1982.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/03/30,10263.0,2139.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/03/31,10630.0,2318.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/04/01,11312.0,2067.0,Holiday,Saturday,Close of Semester,Mostly Sunny
2566/04/02,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2566/04/03,16490.0,3115.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/04/04,16272.0,3154.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/04/05,13603.0,2729.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/04/06,7654.0,1506.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/04/07,10562.0,2084.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/04/08,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/04/09,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/04/10,16677.0,3648.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/04/11,11107.0,2304.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/04/12,9927.0,2001.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/04/13,7257.0,1500.0,Holiday,Thursday,Songkran,Mostly Sunny
2566/04/14,8842.0,1370.0,Holiday,Friday,Songkran,Mostly Sunny
2566/04/15,10562.0,2084.0,Holiday,Saturday,Songkran,Mostly Sunny
2566/04/16,10562.0,2084.0,Holiday,Sunday,Normal Day,Partly Clooudy
2566/04/17,8749.0,1601.0,Normal Day,Monday,Normal Day,Mostly Sunny
