Date,Sales,Profit,Event,Day,Festival,Weather
2566/09/25,8890.0,1785.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/09/26,4610.0,953.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/09/27,5502.0,1310.0,Normal Day,Wednesday,Normal Day,Scattered Showe
2566/09/28,7585.0,1628.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/09/29,10310.0,2264.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/09/30,8760.0,1847.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/10/01,10562.0,2084.0,Holiday,Sunday,Vegetarian Festival,Mostly Sunny
2566/10/02,8313.0,1787.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/10/03,7234.0,1520.0,Normal Day,Tuesday,Normal Day,Scattered Showe
2566/10/04,7161.0,1617.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/10/05,6425.0,1507.0,Normal Day,Thursday,Normal Day,Mostly Cloudy
2566/10/06,10562.0,2084.0,Normal Day,Friday,Normal Day,Scattered Showe
2566/10/07,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/10/08,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/10/09,10562.0,2084.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/10/10,7253.0,1641.0,Normal Day,Tuesday,Normal Day,Scattered Showe
2566/10/11,6114.0,1463.0,Normal Day,Wednesday,Close of Semester,Mostly Sunny
2566/10/12,4805.0,1016.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/10/13,7414.0,1384.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/10/14,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/10/15,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/10/16,7087.0,1607.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/10/17,8005.0,1715.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/10/18,10755.0,2342.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/10/19,6642.0,1527.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/10/20,4077.0,882.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/10/21,10562.0,2084.0,Holiday,Saturday,Normal Day,Scattered Showe
2566/10/22,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/10/23,8863.0,1852.0,Normal Day,Monday,Normal Day,Partly Clooudy
2566/10/24,11096.0,2410.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/10/25,7694.0,1474.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/10/26,8662.0,1843.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/10/27,4413.0,910.0,Normal Day,Friday,Normal Day,Partly Clooudy
2566/10/28,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/10/29,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/10/30,19806.0,3625.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/10/31,23775.0,4418.0,Normal Day,Tuesday,EndClose of Semester,Mostly Sunny
2566/11/01,18077.0,3695.0,Normal Day,Wednesday,Full Moon Day,Mostly Sunny
2566/11/02,16423.0,3008.0,Normal Day,Thursday,Full Moon Day,Mostly Sunny
2566/11/03,13474.0,2218.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/11/04,9475.0,1623.0,Holiday,Saturday,Normal Day,Partly Clooudy
2566/11/05,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/11/06,13695.0,2085.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/11/07,7553.0,1770.0,Normal Day,Tuesday,Normal Day,Partly Clooudy
2566/11/08,10084.0,1972.0,Normal Day,Wednesday,Normal Day,Partly Clooudy
2566/11/09,7388.0,1543.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/11/10,11653.0,1969.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/11/11,9751.0,1918.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/11/12,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/11/13,10788.0,2097.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/11/14,14672.0,2317.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/11/15,7433.0,1568.0,Holiday,Wednesday,End of Buddhist Lent,Mostly Sunny
2566/11/16,11042.0,2276.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/11/17,11276.0,1935.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/11/18,12743.0,2391.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/11/19,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/11/20,14783.0,3075.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/11/21,10773.0,2131.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/11/22,8064.0,1334.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/11/23,11136.0,2230.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/11/24,6593.0,1211.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/11/25,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/11/26,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/11/27,9431.0,2233.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/11/28,10562.0,2084.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/11/29,8662.0,1667.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/11/30,9857.0,1863.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/12/01,12133.0,2544.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/12/02,11654.0,2081.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/12/03,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/12/04,12432.0,2230.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/12/05,8762.0,1583.0,Holiday,Tuesday,Father's Day,Mostly Sunny
2566/12/06,11652.0,2285.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/12/07,7842.0,1443.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/12/08,8674.0,1428.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/12/09,10542.0,1635.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/12/10,10562.0,2084.0,Holiday,Sunday,Constitution Day,Mostly Sunny
2566/12/11,10562.0,2084.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/12/12,13287.0,2551.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/12/13,9797.0,2132.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/12/14,6058.0,1319.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/12/15,9668.0,2027.0,Holiday,Friday,Loy Krathong,Mostly Sunny
2566/12/16,4463.0,1293.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/12/17,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/12/18,10562.0,2084.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/12/19,10426.0,2126.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/12/20,14785.0,3370.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/12/21,7754.0,1376.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/12/22,11747.0,2429.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/12/23,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/12/24,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2566/12/25,15768.0,3292.0,Normal Day,Monday,Normal Day,Mostly Sunny
2566/12/26,14478.0,3396.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2566/12/27,15067.0,3212.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2566/12/28,17684.0,3518.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2566/12/29,12763.0,2232.0,Normal Day,Friday,Normal Day,Mostly Sunny
2566/12/30,10210.0,2169.0,Holiday,Saturday,Normal Day,Mostly Sunny
2566/12/31,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2567/01/01,10562.0,2084.0,Holiday,Monday,New Year's Day,Mostly Sunny
2567/01/02,6600.0,1344.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2567/01/03,10562.0,2084.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2567/01/04,6415.0,1367.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2567/01/05,9865.0,2214.0,Normal Day,Friday,Normal Day,Mostly Sunny
2567/01/06,7267.0,1464.0,Holiday,Saturday,Normal Day,Mostly Sunny
2567/01/07,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2567/01/08,12562.0,3560.0,Normal Day,Monday,Normal Day,Mostly Sunny
2567/01/09,10683.0,2931.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2567/01/10,9674.0,2456.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2567/01/11,8431.0,1768.0,Normal Day,Thursday,Normal Day,Partly Clooudy
2567/01/12,8897.0,2507.0,Normal Day,Friday,Normal Day,Partly Clooudy
2567/01/13,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2567/01/14,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2567/01/15,10923.0,2516.0,Normal Day,Monday,Normal Day,Mostly Sunny
2567/01/16,9971.0,2652.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2567/01/17,4023.0,993.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2567/01/18,10562.0,2084.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2567/01/19,10562.0,2084.0,Normal Day,Friday,Normal Day,Mostly Sunny
2567/01/20,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2567/01/21,10562.0,2084.0,Holiday,Sunday,Normal Day,Mostly Sunny
2567/01/22,8873.0,1948.0,Normal Day,Monday,Normal Day,Mostly Sunny
2567/01/23,7642.0,1472.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2567/01/24,4866.0,1280.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
2567/01/25,6698.0,1529.0,Normal Day,Thursday,Normal Day,Mostly Sunny
2567/01/26,5462.0,1390.0,Normal Day,Friday,Normal Day,Mostly Sunny
2567/01/27,10562.0,2084.0,Holiday,Saturday,Normal Day,Mostly Sunny
2567/01/28,9215.0,1928.0,Holiday,Sunday,Normal Day,Mostly Sunny
2567/01/29,10562.0,2084.0,Normal Day,Monday,Normal Day,Mostly Sunny
2567/01/30,11374.0,2635.0,Normal Day,Tuesday,Normal Day,Mostly Sunny
2567/01/31,10102.0,2682.0,Normal Day,Wednesday,Normal Day,Mostly Sunny
